Observed,Predicted
0.0,-0.019119990978651913
-0.3583931669488357,-0.31609873236811836
0.34032878044675957,0.39243350878041383
0.4607850491497462,0.39243350878041383
0.14570290433453262,0.0069203856073727366
0.2500126877892885,0.43448080920734355
-1.9883751853487865,-1.9305298697772741
-0.28495935507868975,-0.24749272524059052
-0.3285124530610118,-0.31609873236811836
-0.2915574344042785,-0.31609873236811836
2.309599721292374,2.2149133570446793
-0.41467134268145095,-0.4603271694350042
0.25786784195762474,-0.12056540452431364
-0.11118064851665621,0.0833001014761976
-0.03215022992687516,0.0833001014761976
-0.11709729159245326,0.07837880839451827
0.7697369322669332,0.7423489147768123
-0.18652524848952023,-0.16731235570023273
-0.17815026217645605,-0.16731235570023273
-0.1363520572363005,-0.16731235570023273
-1.8119571925705626,-1.9060890221826412
